v1	v2
0.189	0.13
0.257	0.55
0.316	1.27
0.363	2.21
0.413	3.74
0.448	5.22
0.508	8.48
0.550	11.44
0.612	17.15
0.667	23.80
0.715	30.69
0.774	40.67
0.815	48.47
0.860	57.40
0.916	69.43
0.953	77.46
0.989	85.35
1.028	93.80
1.050	98.51
1.079	104.65
1.105	109.94
1.130	114.70
1.155	119.69
1.201	127.60
1.233	132.70
1.267	137.80
1.315	143.97
1.378	150.40
1.425	154.02
1.440	154.93
1.509	158.28
1.564	159.37
1.610	159.66
1.644	159.60
1.713	158.20
1.751	156.79
1.817	153.28
1.870	149.60
1.964	142.42
2.097	131.19
2.198	122.10
2.318	112.13
2.423	103.80
2.544	95.11
2.725	83.50
3.000	69.80
3.247	60.81
3.477	54.30
3.738	48.64
3.985	44.89
4.260	41.68
4.501	39.16
4.813	36.62
4.931	35.96
5.047	35.34
5.148	35.02
5.246	34.64
5.332	34.13
5.437	33.67
5.543	33.47
5.609	33.3
5.721	33.16
5.828	33.12
5.906	33.13
5.991	33.20
6.104	33.22
6.215	33.27
6.313	33.34
6.452	33.44
6.567	33.54
6.686	33.30
6.936	33.70
7.091	34.30
7.254	34.71
7.462	35.22
7.721	36.20
7.986	37.27
8.496	39.61
9.034	42.94
9.526	50.24
10.060	54.52
10.540	59.70
10.957	66.80
11.468	73.33
11.968	88.68
